339-843,세종,,전동면 송곡리,,19379
339-842,세종,,전동면 송성리,,19380
339-843,세종,,전동면 송정리,,19381
339-843,세종,,전동면 심중리,,19382
339-841,세종,,전동면 청람리,,19383
339-841,세종,,전동면 청송리,,19384
339-840,세종,,전동면,,19385
339-706,세종,,전의면 관정리 전의일반산업단지,,19386
339-851,세종,,전의면 관정리,,19387
339-852,세종,,전의면 금사리,,19388
339-853,세종,,전의면 노곡리,,19389
339-852,세종,,전의면 다방리,,19390
339-852,세종,,전의면 달전리,,19391
339-853,세종,,전의면 동교리,,19392
339-851,세종,,전의면 서정리,,19393
339-852,세종,,전의면 신방리,,19394
339-853,세종,,전의면 신정리,,19395
339-852,세종,,전의면 신흥리,,19396
339-852,세종,,전의면 양곡리,,19397
339-852,세종,,전의면 영당리,,19398
339-854,세종,,전의면 원성리,,19399
339-851,세종,,전의면 유천리,,19400
339-854,세종,,전의면 읍내리,,19401
339-850,세종,,전의면,,19402
